# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Aug 18 22:43:49 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and tran_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN tran_flag:      Detected by Transits
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Semi-Major Axis to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_vsinlim:     Stellar Rotational Velocity Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
# COLUMN rowupdate:      Date of Last Update
#
pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,tran_flag,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,rowupdate
Kepler-1438 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.31942009,0.00001702,-0.00001702,0,,,,,0.940,0.190,-0.100,0,,,,,,,,,,,,,,,,,,,,,0.00927,0.00049,-0.00072,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5530.00,56.64,-67.02,0,0.96,0.19,-0.07,0,0.97,0.05,-0.05,0,0.200,0.134,-0.175,0,,,,,4.46,0.07,-0.16,0,5.370,4.840,-3.620,0,,,,,,,,,2016-05-06
Kepler-1439 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,8.07392849,0.00004784,-0.00004784,0,,,,,1.460,0.140,-0.210,0,,,,,,,,,,,,,,,,,,,,,0.03140,0.00073,-0.00233,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,3578.00,54.92,-51.71,0,0.43,0.04,-0.05,0,0.46,0.04,-0.06,0,-0.030,0.112,-0.126,0,,,,,4.83,0.05,-0.04,0,4.070,6.040,-2.430,0,,,,,,,,,2016-05-06
Kepler-144 b,1,1,2,Transit,1,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.88527300,0.00002000,-0.00002000,0,0.066000,,,0,1.330,0.260,-0.260,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6075.00,131.00,-131.00,0,1.24,0.24,-0.24,0,,,,,,,,,,,,,4.29,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-144 c,1,1,2,Transit,1,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,10.10466500,0.00004300,-0.00004300,0,0.094000,,,0,1.350,0.260,-0.260,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6075.00,131.00,-131.00,0,1.24,0.24,-0.24,0,,,,,,,,,,,,,4.29,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-1440 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,39.85948400,0.00103400,-0.00103400,0,,,,,1.260,0.230,-0.140,0,,,,,,,,,,,,,,,,,,,,,0.01187,0.00016,-0.00100,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5698.00,66.72,-68.65,0,0.96,0.17,-0.07,0,0.98,0.04,-0.05,0,0.040,0.137,-0.171,0,,,,,4.46,0.06,-0.14,0,4.470,4.080,-2.700,0,,,,,,,,,2016-05-06
Kepler-1441 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,39.44198390,0.00053270,-0.00053270,0,,,,,1.310,0.220,-0.130,0,,,,,,,,,,,,,,,,,,,,,0.01221,0.00074,-0.00042,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5802.00,122.74,-150.60,0,1.00,0.16,-0.09,0,1.00,0.06,-0.06,0,0.010,0.145,-0.166,0,,,,,4.45,0.07,-0.13,0,3.890,3.060,-2.220,0,,,,,,,,,2016-05-06
Kepler-1442 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,81.41629410,0.00020260,-0.00020260,0,,,,,3.930,0.410,-0.290,0,,,,,,,,,,,,,,,,,,,,,0.02478,0.00141,-0.00089,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6394.00,77.00,-77.61,0,1.44,0.13,-0.10,0,1.34,0.05,-0.05,0,0.260,0.075,-0.084,0,,,,,4.25,0.05,-0.06,0,1.700,0.556,-0.459,0,,,,,,,,,2016-05-06
Kepler-1443 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.41811321,0.00001443,-0.00001443,0,,,,,0.970,0.220,-0.090,0,,,,,,,,,,,,,,,,,,,,,0.00651,0.00148,-0.00038,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6289.00,83.36,-68.31,0,1.27,0.12,-0.09,0,1.19,0.05,-0.05,0,0.000,0.077,-0.080,0,,,,,4.30,0.06,-0.07,0,2.630,0.774,-0.948,0,,,,,,,,,2016-05-06
Kepler-1444 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,33.42035034,0.00009305,-0.00009305,0,,,,,2.180,0.410,-0.190,0,,,,,,,,,,,,,,,,,,,,,0.01880,0.00276,-0.00081,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5810.00,85.52,-70.49,0,1.05,0.12,-0.08,0,1.03,0.04,-0.04,0,0.060,0.100,-0.087,0,,,,,4.40,0.07,-0.09,0,4.790,2.310,-2.640,0,,,,,,,,,2016-05-06
Kepler-1445 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,10.60052251,0.00009265,-0.00009265,0,,,,,0.960,0.200,-0.130,0,,,,,,,,,,,,,,,,,,,,,0.00734,0.00018,-0.00046,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6150.00,71.30,-60.88,0,1.26,0.26,-0.15,0,1.13,0.07,-0.06,0,-0.030,0.084,-0.111,0,,,,,4.28,0.11,-0.13,0,3.800,0.970,-1.390,0,,,,,,,,,2016-05-06
Kepler-1446 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.68996783,0.00000050,-0.00000050,0,,,,,0.820,0.040,-0.020,0,,,,,,,,,,,,,,,,,,,,,0.00976,0.00044,-0.00015,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4865.00,43.69,-52.46,0,0.75,0.01,-0.01,0,0.81,0.02,-0.02,0,0.110,0.102,-0.097,0,,,,,4.60,0.01,-0.01,0,2.630,2.420,-1.120,0,,,,,,,,,2016-05-06
Kepler-1447 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,56.67472850,0.00039780,-0.00039780,0,,,,,2.900,0.500,-0.240,0,,,,,,,,,,,,,,,,,,,,,0.02767,0.00118,-0.00090,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5722.00,108.69,-88.46,0,0.95,0.16,-0.07,0,0.97,0.05,-0.06,0,-0.030,0.130,-0.183,0,,,,,4.47,0.06,-0.13,0,4.170,4.030,-2.410,0,,,,,,,,,2016-05-06
Kepler-1448 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,12.27065865,0.00005885,-0.00005885,0,,,,,1.610,0.210,-0.160,0,,,,,,,,,,,,,,,,,,,,,0.01632,0.00053,-0.00064,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5774.00,89.88,-66.69,0,0.93,0.12,-0.08,0,0.95,0.06,-0.07,0,-0.160,0.176,-0.210,0,,,,,4.49,0.05,-0.10,0,3.550,3.850,-1.930,0,,,,,,,,,2016-05-06
Kepler-1449 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,13.22745280,0.00014470,-0.00014470,0,,,,,1.680,0.370,-0.180,0,,,,,,,,,,,,,,,,,,,,,0.01360,0.00070,-0.00060,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5979.00,98.77,-97.37,0,1.10,0.23,-0.11,0,1.08,0.07,-0.06,0,0.040,0.143,-0.169,0,,,,,4.39,0.08,-0.15,0,3.470,1.890,-1.790,0,,,,,,,,,2016-05-06
Kepler-145 b,1,1,2,Transit,1,0,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,22.95100000,,,0,,,,,2.650,0.080,-0.080,0,0.11700,0.03600,-0.03600,0,,,,,,,,,,,,,,,,,,,,,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,,,,1.85,0.05,-0.05,0,1.32,0.10,-0.10,0,,,,,,,,,4.02,0.01,-0.01,0,,,,,,,,,,,,,2014-05-14
Kepler-145 c,1,1,2,Transit,1,0,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,42.88200000,,,0,,,,,4.320,0.120,-0.120,0,0.25000,0.05200,-0.05200,0,,,,,,,,,,,,,,,,,,,,,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,,,,1.85,0.05,-0.05,0,1.32,0.10,-0.10,0,,,,,,,,,4.02,0.01,-0.01,0,,,,,,,,,,,,,2014-05-14
Kepler-1450 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,54.50941660,0.00052700,-0.00052700,0,,,,,1.710,0.130,-0.110,0,,,,,,,,,,,,,,,,,,,,,0.02326,0.00141,-0.00090,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4524.00,104.75,-94.04,0,0.68,0.03,-0.04,0,0.71,0.03,-0.04,0,-0.020,0.146,-0.147,0,,,,,4.63,0.02,-0.03,0,4.370,5.400,-2.440,0,,,,,,,,,2016-05-06
Kepler-1451 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,35.62223300,0.00020980,-0.00020980,0,,,,,3.350,0.620,-0.660,0,,,,,,,,,,,,,,,,,,,,,0.03054,0.00157,-0.00532,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5782.00,133.65,-186.17,0,0.99,0.18,-0.10,0,1.00,0.07,-0.07,0,0.010,0.135,-0.164,0,,,,,4.45,0.07,-0.14,0,4.170,3.230,-2.440,0,,,,,,,,,2016-05-06
Kepler-1452 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,42.91375100,0.00036890,-0.00036890,0,,,,,2.700,0.390,-0.350,0,,,,,,,,,,,,,,,,,,,,,0.01228,0.00055,-0.00040,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6101.00,90.21,-112.92,0,2.06,0.28,-0.26,0,1.41,0.11,-0.14,0,0.140,0.081,-0.093,0,,,,,3.95,0.08,-0.07,0,3.240,0.952,-0.620,0,,,,,,,,,2016-05-06
Kepler-1453 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,47.16116960,0.00041760,-0.00041760,0,,,,,2.670,0.440,-0.210,0,,,,,,,,,,,,,,,,,,,,,0.02602,0.00124,-0.00088,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5665.00,68.09,-70.11,0,0.94,0.15,-0.07,0,0.97,0.04,-0.05,0,0.010,0.126,-0.164,0,,,,,4.48,0.05,-0.13,0,4.270,4.710,-2.590,0,,,,,,,,,2016-05-06
Kepler-1454 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,47.03194790,0.00066950,-0.00066950,0,,,,,1.880,0.190,-0.170,0,,,,,,,,,,,,,,,,,,,,,0.02033,0.00050,-0.00134,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5448.00,59.86,-64.34,0,0.86,0.08,-0.05,0,0.90,0.04,-0.05,0,-0.020,0.147,-0.169,0,,,,,4.53,0.04,-0.09,0,4.570,5.850,-2.870,0,,,,,,,,,2016-05-06
Kepler-1455 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,49.27676400,0.00037370,-0.00037370,0,,,,,2.160,0.150,-0.160,0,,,,,,,,,,,,,,,,,,,,,0.03328,0.00185,-0.00127,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4075.00,61.23,-57.40,0,0.60,0.03,-0.04,0,0.62,0.03,-0.04,0,-0.020,0.134,-0.167,0,,,,,4.68,0.03,-0.02,0,4.170,6.160,-2.400,0,,,,,,,,,2016-05-06
Kepler-1456 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,18.13738290,0.00018540,-0.00018540,0,,,,,1.140,0.090,-0.150,0,,,,,,,,,,,,,,,,,,,,,0.01737,0.00103,-0.00091,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4231.00,68.40,-85.61,0,0.62,0.04,-0.07,0,0.64,0.05,-0.08,0,-0.090,0.212,-0.336,0,,,,,4.67,0.05,-0.02,0,3.720,5.700,-2.100,0,,,,,,,,,2016-05-06
Kepler-1457 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,51.11102430,0.00037380,-0.00037380,0,,,,,1.990,0.310,-0.200,0,,,,,,,,,,,,,,,,,,,,,0.01823,0.00064,-0.00046,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5866.00,137.28,-119.79,0,1.01,0.15,-0.10,0,1.01,0.07,-0.07,0,-0.050,0.154,-0.189,0,,,,,4.43,0.07,-0.12,0,3.720,3.080,-2.040,0,,,,,,,,,2016-05-06
Kepler-1458 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,47.98727640,0.00017760,-0.00017760,0,,,,,2.760,0.420,-0.210,0,,,,,,,,,,,,,,,,,,,,,0.02735,0.00111,-0.00042,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5653.00,119.66,-136.13,0,0.94,0.14,-0.07,0,0.96,0.05,-0.05,0,0.020,0.131,-0.161,0,,,,,4.48,0.06,-0.13,0,4.170,4.640,-2.450,0,,,,,,,,,2016-05-06
Kepler-1459 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,62.86916110,0.00095860,-0.00095860,0,,,,,1.360,0.100,-0.080,0,,,,,,,,,,,,,,,,,,,,,0.01666,0.00118,-0.00062,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4828.00,42.43,-40.76,0,0.74,0.02,-0.03,0,0.78,0.03,-0.04,0,0.010,0.150,-0.161,0,,,,,4.61,0.02,-0.04,0,3.890,5.970,-2.200,0,,,,,,,,,2016-05-06
Kepler-146 b,1,1,2,Transit,1,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,31.15879900,0.00007900,-0.00007900,0,0.200000,,,0,3.710,0.700,-0.700,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5948.00,100.00,-100.00,0,1.21,0.23,-0.23,0,,,,,,,,,,,,,4.31,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-146 c,1,1,2,Transit,1,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,76.73217100,0.00060900,-0.00060900,0,0.364000,,,0,3.130,0.590,-0.590,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5948.00,100.00,-100.00,0,1.21,0.23,-0.23,0,,,,,,,,,,,,,4.31,0.15,-0.15,0,,,,,,,,,,,,,2014-05-14
Kepler-1460 b,1,1,1,Transit,1,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,29.96332470,0.00021860,-0.00021860,0,,,,,1.960,0.140,-0.130,0,,,,,,,,,,,,,,,,,,,,,0.02718,0.00176,-0.00083,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4422.00,43.62,-45.02,0,0.67,0.02,-0.04,0,0.70,0.03,-0.05,0,-0.020,0.180,-0.172,0,,,,,4.64,0.02,-0.03,0,3.980,5.950,-2.270,0,,,,,,,,,2016-05-06
